[2016-08-24 01:11:28] defaultLogger.ERROR: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'dfgj' for key 'PRIMARY' [] []
[2016-08-24 01:25:44] defaultLogger.INFO: INSERT INTO usuario (idusuario, password, nombre, apellidos, avatar) VALUES ('frende5', 'rueda', 'alejandro', 'frende5557111', 'http://viajesengrupo.esy.es/service/script.php?username=dghj&nombre=ghk&apellido=hgfjk&password=dgfhk&email=alexruedaromero94@hotmail.com&cars=Fiat&terms=on') [] []
[2016-08-24 10:22:56] defaultLogger.ERROR: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'frende5' for key 'PRIMARY' [] []
[2016-08-24 10:23:04] defaultLogger.ERROR: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'frende5' for key 'PRIMARY' [] []
[2016-08-24 10:23:17] defaultLogger.INFO: INSERT INTO usuario (idusuario, password, nombre, apellidos, avatar) VALUES ('frende55', 'dsfh', 'dsfg', 'sdfh', 'http://viajesengrupo.esy.es/service/script.php?username=dghj&nombre=ghk&apellido=hgfjk&password=dgfhk&email=alexruedaromero94@hotmail.com&cars=Fiat&terms=on') [] []
[2016-08-24 10:28:57] defaultLogger.ERROR: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'frende5' for key 'PRIMARY' [] []
[2016-08-24 10:28:59] defaultLogger.ERROR: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'frende5' for key 'PRIMARY' [] []
[2016-08-24 10:34:02] defaultLogger.ERROR: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'frende5' for key 'PRIMARY' [] []
[2016-08-24 10:34:14] defaultLogger.ERROR: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'frende5' for key 'PRIMARY' [] []
[2016-08-25 15:13:05] defaultLogger.INFO: INSERT INTO usuario (idusuario, password, nombre, apellidos, avatar) VALUES ('alex', '5557111', 'alejandro', 'rueda', 'http://viajesengrupo.esy.es/service/script.php?username=dghj&nombre=ghk&apellido=hgfjk&password=dgfhk&email=alexruedaromero94@hotmail.com&cars=Fiat&terms=on') [] []
[2016-08-25 16:11:27] defaultLogger.INFO: INSERT INTO usuario (idusuario, password, nombre, apellidos, avatar) VALUES ('prueba', 'sfgj', 'sh', 'fsgj', 'http://viajesengrupo.esy.es/service/script.php?username=dghj&nombre=ghk&apellido=hgfjk&password=dgfhk&email=alexruedaromero94@hotmail.com&cars=Fiat&terms=on') [] []
[2016-08-25 16:11:52] defaultLogger.ERROR: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'prueba' for key 'PRIMARY' [] []
[2016-08-25 16:12:04] defaultLogger.ERROR: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'prueba' for key 'PRIMARY' [] []
[2016-08-25 16:12:18] defaultLogger.ERROR: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'prueba' for key 'PRIMARY' [] []
[2016-08-25 16:40:01] defaultLogger.INFO: SELECT idusuario, password, nombre, apellidos, avatar FROM usuario WHERE idusuario = 'alex' [] []
[2016-08-25 22:40:25] defaultLogger.INFO: SELECT usuario.idusuario, usuario.password, usuario.nombre, usuario.apellidos, usuario.avatar FROM usuario WHERE usuario.idusuario='alex' AND usuario.password='5557111' [] []
[2016-08-25 22:42:49] defaultLogger.INFO: SELECT usuario.idusuario, usuario.password, usuario.nombre, usuario.apellidos, usuario.avatar FROM usuario WHERE usuario.idusuario='alex' AND usuario.password='5557111' [] []
[2016-08-25 22:43:59] defaultLogger.INFO: SELECT usuario.idusuario, usuario.password, usuario.nombre, usuario.apellidos, usuario.avatar FROM usuario WHERE usuario.idusuario='alex' AND usuario.password='5557111' [] []
[2016-08-25 22:47:22] defaultLogger.INFO: SELECT usuario.idusuario, usuario.password, usuario.nombre, usuario.apellidos, usuario.avatar FROM usuario WHERE usuario.idusuario='alex' AND usuario.password='5557111' [] []
[2016-08-25 22:47:23] defaultLogger.INFO: SELECT usuario.idusuario, usuario.password, usuario.nombre, usuario.apellidos, usuario.avatar FROM usuario WHERE usuario.idusuario='alex' AND usuario.password='5557111' [] []
[2016-08-25 22:47:23] defaultLogger.INFO: SELECT usuario.idusuario, usuario.password, usuario.nombre, usuario.apellidos, usuario.avatar FROM usuario WHERE usuario.idusuario='alex' AND usuario.password='5557111' [] []
[2016-08-25 22:47:33] defaultLogger.INFO: SELECT usuario.idusuario, usuario.password, usuario.nombre, usuario.apellidos, usuario.avatar FROM usuario WHERE usuario.idusuario='alex' AND usuario.password='5557111' [] []
[2016-08-25 22:52:42] defaultLogger.INFO: SELECT usuario.idusuario, usuario.password, usuario.nombre, usuario.apellidos, usuario.avatar FROM usuario WHERE usuario.idusuario='alex' AND usuario.password='5557111' [] []
[2016-08-25 22:54:03] defaultLogger.INFO: SELECT usuario.idusuario, usuario.password, usuario.nombre, usuario.apellidos, usuario.avatar FROM usuario WHERE usuario.idusuario='alex' AND usuario.password='5557111' [] []
[2016-08-25 22:56:03] defaultLogger.INFO: SELECT usuario.idusuario, usuario.password, usuario.nombre, usuario.apellidos, usuario.avatar FROM usuario WHERE usuario.idusuario='alex' AND usuario.password='5557111' [] []
[2016-08-25 22:58:14] defaultLogger.INFO: SELECT usuario.idusuario, usuario.password, usuario.nombre, usuario.apellidos, usuario.avatar FROM usuario WHERE usuario.idusuario='alex' AND usuario.password='5557111' [] []
[2016-08-25 23:13:15] defaultLogger.INFO: SELECT usuario.idusuario, usuario.password, usuario.nombre, usuario.apellidos, usuario.avatar FROM usuario WHERE usuario.idusuario='alex' AND usuario.password='5557111' [] []
[2016-08-25 23:13:40] defaultLogger.INFO: SELECT usuario.idusuario, usuario.password, usuario.nombre, usuario.apellidos, usuario.avatar FROM usuario WHERE usuario.idusuario='alex' AND usuario.password='5557111' [] []
[2016-08-25 23:17:57] defaultLogger.INFO: SELECT usuario.idusuario, usuario.password, usuario.nombre, usuario.apellidos, usuario.avatar FROM usuario WHERE usuario.idusuario='alex' AND usuario.password='5557111' [] []
[2016-08-25 23:17:58] defaultLogger.INFO: SELECT usuario.idusuario, usuario.password, usuario.nombre, usuario.apellidos, usuario.avatar FROM usuario WHERE usuario.idusuario='alex' AND usuario.password='5557111' [] []
[2016-08-25 23:17:59] defaultLogger.INFO: SELECT usuario.idusuario, usuario.password, usuario.nombre, usuario.apellidos, usuario.avatar FROM usuario WHERE usuario.idusuario='alex' AND usuario.password='5557111' [] []
[2016-08-25 23:17:59] defaultLogger.INFO: SELECT usuario.idusuario, usuario.password, usuario.nombre, usuario.apellidos, usuario.avatar FROM usuario WHERE usuario.idusuario='alex' AND usuario.password='5557111' [] []
[2016-08-25 23:17:59] defaultLogger.INFO: SELECT usuario.idusuario, usuario.password, usuario.nombre, usuario.apellidos, usuario.avatar FROM usuario WHERE usuario.idusuario='alex' AND usuario.password='5557111' [] []
[2016-08-25 23:17:59] defaultLogger.INFO: SELECT usuario.idusuario, usuario.password, usuario.nombre, usuario.apellidos, usuario.avatar FROM usuario WHERE usuario.idusuario='alex' AND usuario.password='5557111' [] []
[2016-08-25 23:17:59] defaultLogger.INFO: SELECT usuario.idusuario, usuario.password, usuario.nombre, usuario.apellidos, usuario.avatar FROM usuario WHERE usuario.idusuario='alex' AND usuario.password='5557111' [] []
[2016-08-25 23:18:00] defaultLogger.INFO: SELECT usuario.idusuario, usuario.password, usuario.nombre, usuario.apellidos, usuario.avatar FROM usuario WHERE usuario.idusuario='alex' AND usuario.password='5557111' [] []
[2016-08-25 23:18:00] defaultLogger.INFO: SELECT usuario.idusuario, usuario.password, usuario.nombre, usuario.apellidos, usuario.avatar FROM usuario WHERE usuario.idusuario='alex' AND usuario.password='5557111' [] []
[2016-08-25 23:18:00] defaultLogger.INFO: SELECT usuario.idusuario, usuario.password, usuario.nombre, usuario.apellidos, usuario.avatar FROM usuario WHERE usuario.idusuario='alex' AND usuario.password='5557111' [] []
[2016-08-25 23:18:00] defaultLogger.INFO: SELECT usuario.idusuario, usuario.password, usuario.nombre, usuario.apellidos, usuario.avatar FROM usuario WHERE usuario.idusuario='alex' AND usuario.password='5557111' [] []
[2016-08-25 23:30:41] defaultLogger.INFO: SELECT usuario.idusuario, usuario.password, usuario.nombre, usuario.apellidos, usuario.avatar FROM usuario WHERE usuario.idusuario='alex' AND usuario.password='5557111' [] []
[2016-08-25 23:31:21] defaultLogger.INFO: SELECT usuario.idusuario, usuario.password, usuario.nombre, usuario.apellidos, usuario.avatar FROM usuario WHERE usuario.idusuario='alex' AND usuario.password='5557111' [] []
[2016-08-25 23:32:36] defaultLogger.INFO: SELECT usuario.idusuario, usuario.password, usuario.nombre, usuario.apellidos, usuario.avatar FROM usuario WHERE usuario.idusuario='alex' AND usuario.password='5557111' [] []
[2016-08-25 23:34:30] defaultLogger.INFO: SELECT usuario.idusuario, usuario.password, usuario.nombre, usuario.apellidos, usuario.avatar FROM usuario WHERE usuario.idusuario='alex' AND usuario.password='5557111' [] []
[2016-08-25 23:43:29] defaultLogger.INFO: SELECT usuario.idusuario, usuario.password, usuario.nombre, usuario.apellidos, usuario.avatar FROM usuario WHERE usuario.idusuario='alex' AND usuario.password='5557111' [] []
[2016-08-25 23:49:52] defaultLogger.INFO: SELECT usuario.idusuario, usuario.password, usuario.nombre, usuario.apellidos, usuario.avatar FROM usuario WHERE usuario.idusuario='alex' AND usuario.password='5557111' [] []
[2016-08-25 23:49:54] defaultLogger.INFO: SELECT usuario.idusuario, usuario.password, usuario.nombre, usuario.apellidos, usuario.avatar FROM usuario WHERE usuario.idusuario='alex' AND usuario.password='5557111' [] []
[2016-08-25 23:51:51] defaultLogger.INFO: SELECT usuario.idusuario, usuario.password, usuario.nombre, usuario.apellidos, usuario.avatar FROM usuario WHERE usuario.idusuario='alex' AND usuario.password='5557111' [] []
[2016-08-25 23:52:32] defaultLogger.INFO: SELECT usuario.idusuario, usuario.password, usuario.nombre, usuario.apellidos, usuario.avatar FROM usuario WHERE usuario.idusuario='alex' AND usuario.password='5557111' [] []
[2016-08-25 23:55:05] defaultLogger.INFO: SELECT usuario.idusuario, usuario.password, usuario.nombre, usuario.apellidos, usuario.avatar FROM usuario WHERE usuario.idusuario='alex' AND usuario.password='5557111' [] []
[2016-08-25 23:58:46] defaultLogger.INFO: SELECT usuario.idusuario, usuario.password, usuario.nombre, usuario.apellidos, usuario.avatar FROM usuario WHERE usuario.idusuario='alex' AND usuario.password='5557111' [] []
[2016-08-25 23:58:59] defaultLogger.INFO: SELECT usuario.idusuario, usuario.password, usuario.nombre, usuario.apellidos, usuario.avatar FROM usuario WHERE usuario.idusuario='alex' AND usuario.password='5557111' [] []
[2016-08-26 15:35:35] defaultLogger.INFO: SELECT usuario.idusuario, usuario.password, usuario.nombre, usuario.apellidos, usuario.avatar FROM usuario WHERE usuario.idusuario='alex' AND usuario.password='5557111' [] []
[2016-08-26 15:41:41] defaultLogger.INFO: SELECT usuario.idusuario, usuario.password, usuario.nombre, usuario.apellidos, usuario.avatar FROM usuario WHERE usuario.idusuario='alex' AND usuario.password='5557111' [] []
[2016-08-26 15:42:58] defaultLogger.INFO: SELECT usuario.idusuario, usuario.password, usuario.nombre, usuario.apellidos, usuario.avatar FROM usuario WHERE usuario.idusuario='alex' AND usuario.password='5557111' [] []
[2016-08-26 15:42:59] defaultLogger.INFO: SELECT usuario.idusuario, usuario.password, usuario.nombre, usuario.apellidos, usuario.avatar FROM usuario WHERE usuario.idusuario='alex' AND usuario.password='5557111' [] []
[2016-08-26 15:43:00] defaultLogger.INFO: SELECT usuario.idusuario, usuario.password, usuario.nombre, usuario.apellidos, usuario.avatar FROM usuario WHERE usuario.idusuario='alex' AND usuario.password='5557111' [] []
[2016-08-26 15:43:00] defaultLogger.INFO: SELECT usuario.idusuario, usuario.password, usuario.nombre, usuario.apellidos, usuario.avatar FROM usuario WHERE usuario.idusuario='alex' AND usuario.password='5557111' [] []
[2016-08-26 15:44:29] defaultLogger.INFO: SELECT usuario.idusuario, usuario.password, usuario.nombre, usuario.apellidos, usuario.avatar FROM usuario WHERE usuario.idusuario='alex' AND usuario.password='5557111' [] []
[2016-08-26 16:28:11] defaultLogger.INFO: SELECT usuario.idusuario, usuario.password, usuario.nombre, usuario.apellidos, usuario.avatar FROM usuario WHERE usuario.idusuario='alex' AND usuario.password='5557111' [] []
[2016-08-26 17:42:07] defaultLogger.INFO: SELECT usuario.idusuario, usuario.password, usuario.nombre, usuario.apellidos, usuario.avatar FROM usuario WHERE usuario.idusuario='alex' AND usuario.password='555' [] []
[2016-08-26 17:42:09] defaultLogger.INFO: SELECT usuario.idusuario, usuario.password, usuario.nombre, usuario.apellidos, usuario.avatar FROM usuario WHERE usuario.idusuario='alex' AND usuario.password='5557111' [] []
[2016-08-26 17:52:12] defaultLogger.INFO: SELECT usuario.idusuario, usuario.password, usuario.nombre, usuario.apellidos, usuario.avatar FROM usuario WHERE usuario.idusuario='alex' AND usuario.password='5557111' [] []
[2016-08-26 18:00:23] defaultLogger.INFO: SELECT usuario.idusuario, usuario.password, usuario.nombre, usuario.apellidos, usuario.avatar FROM usuario WHERE usuario.idusuario='alex' AND usuario.password='5557111' [] []
[2016-08-26 18:00:29] defaultLogger.INFO: SELECT usuario.idusuario, usuario.password, usuario.nombre, usuario.apellidos, usuario.avatar FROM usuario WHERE usuario.idusuario='alex' AND usuario.password='5557111' [] []
[2016-08-26 18:02:04] defaultLogger.INFO: SELECT usuario.idusuario, usuario.password, usuario.nombre, usuario.apellidos, usuario.avatar FROM usuario WHERE usuario.idusuario='alex' AND usuario.password='5557111' [] []
[2016-08-26 18:05:19] defaultLogger.INFO: SELECT usuario.idusuario, usuario.password, usuario.nombre, usuario.apellidos, usuario.avatar FROM usuario WHERE usuario.idusuario='alex' AND usuario.password='5557111' [] []
[2016-08-27 19:37:07] defaultLogger.INFO: SELECT usuario.idusuario, usuario.password, usuario.nombre, usuario.apellidos, usuario.avatar FROM usuario WHERE usuario.idusuario='alex' AND usuario.password='5557111' [] []
[2016-08-27 21:26:27] defaultLogger.INFO: SELECT usuario.idusuario, usuario.password, usuario.nombre, usuario.apellidos, usuario.avatar FROM usuario WHERE usuario.idusuario='alex' AND usuario.password='5557111' [] []
[2016-08-27 21:26:51] defaultLogger.INFO: SELECT usuario.idusuario, usuario.password, usuario.nombre, usuario.apellidos, usuario.avatar FROM usuario WHERE usuario.idusuario='alex' AND usuario.password='5557111' [] []
[2016-08-27 21:27:39] defaultLogger.INFO: SELECT usuario.idusuario, usuario.password, usuario.nombre, usuario.apellidos, usuario.avatar FROM usuario WHERE usuario.idusuario='alex' AND usuario.password='5557111' [] []
[2016-08-27 21:30:14] defaultLogger.INFO: SELECT usuario.idusuario, usuario.password, usuario.nombre, usuario.apellidos, usuario.avatar FROM usuario WHERE usuario.idusuario='alex' AND usuario.password='5557111' [] []
[2016-08-27 21:31:38] defaultLogger.INFO: SELECT usuario.idusuario, usuario.password, usuario.nombre, usuario.apellidos, usuario.avatar FROM usuario WHERE usuario.idusuario='alex' AND usuario.password='5557111' [] []
[2016-08-27 21:32:37] defaultLogger.INFO: SELECT usuario.idusuario, usuario.password, usuario.nombre, usuario.apellidos, usuario.avatar FROM usuario WHERE usuario.idusuario='alex' AND usuario.password='5557111' [] []
[2016-08-27 21:33:23] defaultLogger.INFO: SELECT usuario.idusuario, usuario.password, usuario.nombre, usuario.apellidos, usuario.avatar FROM usuario WHERE usuario.idusuario='alex' AND usuario.password='5557111' [] []
[2016-08-27 21:33:30] defaultLogger.INFO: SELECT usuario.idusuario, usuario.password, usuario.nombre, usuario.apellidos, usuario.avatar FROM usuario WHERE usuario.idusuario='alex' AND usuario.password='5557111' [] []
[2016-08-27 21:33:53] defaultLogger.INFO: SELECT usuario.idusuario, usuario.password, usuario.nombre, usuario.apellidos, usuario.avatar FROM usuario WHERE usuario.idusuario='alex' AND usuario.password='5557111' [] []
[2016-08-27 21:34:09] defaultLogger.INFO: SELECT usuario.idusuario, usuario.password, usuario.nombre, usuario.apellidos, usuario.avatar FROM usuario WHERE usuario.idusuario='alex' AND usuario.password='5557111' [] []
[2016-08-27 21:34:35] defaultLogger.INFO: SELECT usuario.idusuario, usuario.password, usuario.nombre, usuario.apellidos, usuario.avatar FROM usuario WHERE usuario.idusuario='alex' AND usuario.password='5557111' [] []
[2016-08-27 22:01:19] defaultLogger.INFO: SELECT usuario.idusuario, usuario.password, usuario.nombre, usuario.apellidos, usuario.avatar FROM usuario WHERE usuario.idusuario='alex' AND usuario.password='5557111' [] []
[2016-08-27 22:03:07] defaultLogger.INFO: SELECT usuario.idusuario, usuario.password, usuario.nombre, usuario.apellidos, usuario.avatar FROM usuario WHERE usuario.idusuario='alex' AND usuario.password='5557111' [] []
[2016-08-27 22:03:46] defaultLogger.INFO: SELECT usuario.idusuario, usuario.password, usuario.nombre, usuario.apellidos, usuario.avatar FROM usuario WHERE usuario.idusuario='alex' AND usuario.password='5557111' [] []
[2016-08-27 22:04:43] defaultLogger.INFO: SELECT usuario.idusuario, usuario.password, usuario.nombre, usuario.apellidos, usuario.avatar FROM usuario WHERE usuario.idusuario='alex' AND usuario.password='5557111' [] []
[2016-08-27 22:05:23] defaultLogger.INFO: SELECT usuario.idusuario, usuario.password, usuario.nombre, usuario.apellidos, usuario.avatar FROM usuario WHERE usuario.idusuario='alex' AND usuario.password='5557111' [] []
[2016-08-27 22:05:59] defaultLogger.INFO: SELECT usuario.idusuario, usuario.password, usuario.nombre, usuario.apellidos, usuario.avatar FROM usuario WHERE usuario.idusuario='alex' AND usuario.password='5557111' [] []
[2016-08-27 22:07:21] defaultLogger.INFO: SELECT usuario.idusuario, usuario.password, usuario.nombre, usuario.apellidos, usuario.avatar FROM usuario WHERE usuario.idusuario='alex' AND usuario.password='5557111' [] []
[2016-08-27 23:44:48] defaultLogger.INFO: SELECT usuario.idusuario, usuario.password, usuario.nombre, usuario.apellidos, usuario.avatar FROM usuario WHERE usuario.idusuario='alex' AND usuario.password='5557111' [] []
[2016-08-27 23:48:32] defaultLogger.INFO: SELECT usuario.idusuario, usuario.password, usuario.nombre, usuario.apellidos, usuario.avatar FROM usuario WHERE usuario.idusuario='alex' AND usuario.password='5557111' [] []
[2016-08-27 23:51:08] defaultLogger.INFO: SELECT usuario.idusuario, usuario.password, usuario.nombre, usuario.apellidos, usuario.avatar FROM usuario WHERE usuario.idusuario='alex' AND usuario.password='5557111' [] []
[2016-08-27 23:53:45] defaultLogger.INFO: SELECT usuario.idusuario, usuario.password, usuario.nombre, usuario.apellidos, usuario.avatar FROM usuario WHERE usuario.idusuario='alex' AND usuario.password='5557111' [] []
[2016-08-27 23:53:55] defaultLogger.INFO: SELECT usuario.idusuario, usuario.password, usuario.nombre, usuario.apellidos, usuario.avatar FROM usuario WHERE usuario.idusuario='alex' AND usuario.password='5557111' [] []
[2016-08-28 00:03:38] defaultLogger.INFO: SELECT usuario.idusuario, usuario.password, usuario.nombre, usuario.apellidos, usuario.avatar FROM usuario WHERE usuario.idusuario='alex' AND usuario.password='5557111' [] []
[2016-08-28 11:38:21] defaultLogger.INFO: SELECT usuario.idusuario, usuario.password, usuario.nombre, usuario.apellidos, usuario.avatar FROM usuario WHERE usuario.idusuario='ALEX' AND usuario.password='5557111' [] []
[2016-08-28 12:23:38] defaultLogger.INFO: SELECT usuario.idusuario, usuario.password, usuario.nombre, usuario.apellidos, usuario.avatar FROM usuario WHERE usuario.idusuario='alex' AND usuario.password=')557111' [] []
[2016-08-28 16:14:09] defaultLogger.INFO: SELECT usuario.idusuario, usuario.password, usuario.nombre, usuario.apellidos, usuario.avatar FROM usuario WHERE usuario.idusuario='alex' AND usuario.password='5557111' [] []
[2016-08-28 16:16:35] defaultLogger.INFO: SELECT usuario.idusuario, usuario.password, usuario.nombre, usuario.apellidos, usuario.avatar FROM usuario WHERE usuario.idusuario='alex' AND usuario.password='5557111' [] []
[2016-08-28 16:16:39] defaultLogger.INFO: SELECT usuario.idusuario, usuario.password, usuario.nombre, usuario.apellidos, usuario.avatar FROM usuario WHERE usuario.idusuario='alex' AND usuario.password='5557111' [] []
[2016-08-28 16:24:06] defaultLogger.INFO: INSERT INTO usuario (idusuario, password, nombre, apellidos, avatar) VALUES ('test94', '555', 'alejandro', 'rueda', 'http://viajesengrupo.esy.es/service/script.php?username=dghj&nombre=ghk&apellido=hgfjk&password=dgfhk&email=alexruedaromero94@hotmail.com&cars=Fiat&terms=on') [] []
[2016-08-28 16:24:20] defaultLogger.INFO: SELECT usuario.idusuario, usuario.password, usuario.nombre, usuario.apellidos, usuario.avatar FROM usuario WHERE usuario.idusuario='test94' AND usuario.password='555' [] []
[2016-08-28 16:48:06] defaultLogger.INFO: SELECT usuario.idusuario, usuario.password, usuario.nombre, usuario.apellidos, usuario.avatar FROM usuario WHERE usuario.idusuario='alex' AND usuario.password='5557111' [] []
